zipCode,prem2018,prem2022,premChange,premPctChange,lossRatio,claimFreq,claimSev,nonRenew,nonPay
30537,1921.82,1955.35,33.53,1.74,0.35,0.03,25935,0.01,0
30559,1708.3,1948.88,240.58,14.08,0.35,0.02,29288,0,0
30512,1488.96,1586.62,97.66,6.56,0.34,0.03,17591,0.01,0
30525,1970.35,2021.53,51.18,2.6,0.33,0.03,25540,0.01,0
30560,1838.13,1925.74,87.62,4.77,0.21,0.03,16522,0,0
30546,1624.93,1716.96,92.03,5.66,0.3,0.03,19492,0.01,0
30582,1539.28,1619.96,80.68,5.24,0.23,0.03,14213,0.01,0
28619,835.72,909.05,73.33,8.77,0.25,0.04,6018,0.02,0
27559,1287.54,1440.21,152.67,11.86,0.38,0.04,16867,0.01,0
27843,1370.14,1507.03,136.9,9.99,1.2,0.11,16537,0.02,0
27244,1138.09,1203.99,65.9,5.79,0.51,0.05,12502,0.01,0
27203,937.35,1029.09,91.74,9.79,0.55,0.05,12484,0.02,0
27298,1043.97,1120.71,76.74,7.35,0.44,0.05,10926,0.02,0
27235,1231.34,1303.23,71.89,5.84,0.6,0.08,10827,0.02,0
28054,1092.57,1193.44,100.87,9.23,0.46,0.05,11627,0.03,0
28611,988.94,1115.92,126.97,12.84,0.57,0.03,19666,0.02,0
27208,942.6,1019.92,77.32,8.2,0.55,0.04,16936,0.01,0
28098,1002.6,1119.94,117.34,11.7,0.47,0.06,9592,0.03,0
27249,1009.15,1094.32,85.17,8.44,0.46,0.06,9892,0.02,0
27609,1490.88,1780.08,289.21,19.4,0.47,0.05,17247,0.02,0
28135,1432.86,1505.16,72.3,5.05,0.46,0.06,13192,0.01,0
28447,1508.98,1690.32,181.35,12.02,0.61,0.08,13001,0,0
27820,1197.62,1308.11,110.49,9.23,0.38,0.07,7875,0.03,0
28771,1174.8,1281.79,107,9.11,0.56,0.03,22025,0.01,0
27939,924.43,989.28,64.85,7.02,0.32,0.02,15990,0.01,0
28349,1619.46,1753.19,133.73,8.26,0.41,0.08,8770,0.01,0
28453,1632.7,1712.62,79.92,4.9,0.45,0.09,12189,0.02,0
28745,1310.54,1421.65,111.12,8.48,0.25,0.04,10760,0.01,0
27860,1443.23,1468.06,24.83,1.72,0.12,0.02,9862,0.03,0
27919,1359.53,1318.21,-41.33,-3.04,0.22,0.03,10945,0.01,0
27946,1468.48,1402.9,-65.58,-4.47,0.2,0.04,7516,0.01,0
28742,1145.14,1318.22,173.08,15.11,0.62,0.05,18925,0.01,0
27870,1201.81,1325.1,123.29,10.26,0.29,0.04,10563,0.01,0
27024,1022,1024.46,2.46,0.24,0.67,0.07,11321,0.01,0
28129,1059.77,1137.65,77.88,7.35,0.46,0.05,11846,0.02,0
27522,1238.67,1345.66,106.98,8.64,0.57,0.07,11673,0.03,0
27017,1118.32,1089.26,-29.06,-2.6,0.52,0.05,13123,0.01,0
28128,1107.34,1212.92,105.59,9.54,0.37,0.04,11123,0.01,0
28726,873.56,953.61,80.05,9.16,0.73,0.04,20560,0.01,0
28719,965.97,1066.05,100.08,10.36,0.12,0.01,11633,0.01,0
28789,1160.53,1254.81,94.28,8.12,0.4,0.03,22311,0.01,0
28455,1886.76,2021.68,134.92,7.15,0.7,0.11,15829,0,0
28683,1159.43,1232.95,73.52,6.34,0.26,0.05,7435,0.01,0
27970,1300.12,1288.11,-12.01,-0.92,0.58,0.02,36852,0.03,0
27025,1031.68,1102.75,71.07,6.89,0.52,0.06,10532,0.01,0
27042,1170.96,1228.47,57.51,4.91,0.18,0.04,7341,0.02,0
27014,960.61,1101.03,140.41,14.62,0.39,0.03,12510,0.02,0
28323,1496.69,1695.2,198.5,13.26,0.42,0.1,8957,0.03,0
27357,1117.88,1186.24,68.35,6.11,0.36,0.06,8388,0.02,0
28033,1045.47,1166.75,121.28,11.6,0.68,0.07,9598,0.02,0
28637,869.44,935.1,65.66,7.55,0.39,0.04,8531,0.02,0
27562,1403.53,1426.16,22.63,1.61,0.33,0.04,14877,0.02,0
27502,1404.33,1564.42,160.09,11.4,0.73,0.1,12792,0.02,0
28436,1653.15,1872.82,219.67,13.29,1.55,0.13,23794,0.02,0
27310,1534.62,1634.11,99.49,6.48,0.52,0.07,13211,0.02,0
27409,999.11,1129.69,130.58,13.07,0.51,0.06,10406,0.02,0
27233,1110.9,1161.42,50.52,4.55,0.59,0.06,12178,0.02,0
27263,971.55,1048.89,77.34,7.96,0.56,0.06,10165,0.02,0
28012,1233.67,1333.45,99.78,8.09,0.71,0.08,13868,0.02,0
28606,1162.87,1251.65,88.78,7.63,0.37,0.05,9737,0.01,0
28052,1032,1109.96,77.95,7.55,0.5,0.06,10007,0.02,0
27605,1941.57,2356.3,414.73,21.36,0.28,0.04,25388,0.01,0
27054,1061.26,1193.88,132.62,12.5,0.42,0.05,10426,0.01,0
27606,1449.91,1627.92,178.01,12.28,0.53,0.06,14953,0.02,0
27408,1383.21,1563.29,180.09,13.02,0.6,0.08,13007,0.01,0
27574,1243.11,1295.01,51.9,4.18,0.39,0.04,13365,0.02,0
28562,1260.89,1276.31,15.42,1.22,0.26,0.05,11069,0.02,0
28684,1369.54,1414.14,44.59,3.26,0.5,0.03,28726,0.01,0
28464,1414.88,1616.36,201.47,14.24,0.75,0.13,9769,0.01,0
27927,3489.15,3018.62,-470.53,-13.49,0.09,0.03,11642,0,0
27923,972.86,910.51,-62.35,-6.41,0.2,0.02,13198,0.02,0
27966,1139.21,1126.68,-12.53,-1.1,2.05,0.03,53008,0.02,0
28119,1312.38,1324.7,12.32,0.94,0.91,0.13,9993,0.01,0
28791,1178.78,1297.93,119.16,10.11,0.41,0.05,12256,0.01,0
27932,1336.39,1375.73,39.34,2.94,0.22,0.03,11686,0.02,0
28646,2814.04,3489.14,675.1,23.99,0.17,0.02,28496,0.01,0
27890,1468.41,1580.05,111.63,7.6,0.52,0.06,13733,0.03,0
28777,956.07,1076.92,120.85,12.64,0.26,0.03,11900,0.01,0
28616,1301.96,1275.69,-26.27,-2.02,0.3,0.04,10419,0.01,0
28327,1426.3,1461.78,35.48,2.49,0.32,0.09,8512,0.01,0
28909,1206.43,1318.97,112.55,9.33,0.2,0.02,11557,0.01,0
27924,1642.4,1740.48,98.08,5.97,0.51,0.08,17279,0.02,0
28668,2234.44,2545.35,310.91,13.91,0.1,0.04,6246,0.01,0
28740,1088.05,1144.8,56.75,5.22,0.13,0.02,7378,0.01,0
28073,1034.42,1040.99,6.57,0.63,0.41,0.05,8967,0.01,0
27925,923.34,918.86,-4.48,-0.49,0.26,0.04,6884,0.02,0
28712,1224,1341.51,117.51,9.6,0.5,0.05,14017,0.01,0
28746,1491.4,1538.33,46.93,3.15,0.46,0.05,16449,0.01,0
28364,1465.8,1570.18,104.38,7.12,0.42,0.08,9423,0.02,0
28749,1182.99,1299.58,116.59,9.86,0.6,0.02,22524,0.01,0
27281,1516.93,1490.42,-26.51,-1.75,0.38,0.05,14394,0.01,0
28358,1540.43,1622.98,82.55,5.36,0.46,0.09,12851,0.02,0
28772,1117.89,1284.14,166.25,14.87,0.19,0.04,6887,0.01,0
28328,1587,1652.68,65.69,4.14,0.5,0.08,12802,0.02,0
28762,1116.72,1171.98,55.26,4.95,0.42,0.04,13372,0.01,0
28553,911.67,761.15,-150.53,-16.51,0.15,0.04,5324,0.01,0
28640,1308.43,1365.81,57.38,4.39,0.22,0.03,10537,0.01,0
28557,824.6,963.91,139.31,16.89,0.41,0.05,13139,0.02,0
27936,876.44,1159.83,283.39,32.33,0.18,0.02,14522,0.01,0
27587,1522.96,1677.84,154.88,10.17,0.7,0.08,15732,0.02,0
27508,1218.95,1409.9,190.95,15.67,0.5,0.06,14056,0.03,0
28125,1246.54,1344.54,98,7.86,0.47,0.06,11922,0.01,0
28422,1156.94,1402.25,245.31,21.2,0.36,0.03,30722,0.01,0
28451,977.91,1329.91,352,35.99,0.55,0.06,14301,0.01,0
27517,1836.68,2020.2,183.52,9.99,0.5,0.06,17354,0.01,0
28107,1300.69,1359.2,58.51,4.5,0.44,0.04,14845,0.03,0
28027,1272.01,1360.36,88.36,6.95,0.61,0.07,12076,0.03,0
27613,1561.45,1782.8,221.35,14.18,0.61,0.08,14820,0.02,0
27513,1521.1,1708.16,187.07,12.3,0.61,0.07,14533,0.02,0
27055,1080.08,1081.67,1.59,0.15,0.32,0.05,8055,0.01,0
27601,1257.4,1457.43,200.02,15.91,0.36,0.04,13064,0.02,0
27358,1503.56,1632.23,128.68,8.56,0.58,0.08,13600,0.02,0
27893,1134.94,1252.06,117.13,10.32,0.53,0.07,10247,0.02,0
27704,1109.74,1255.17,145.43,13.11,0.49,0.06,10414,0.02,0
27863,1482.43,1508.92,26.49,1.79,0.48,0.07,11148,0.02,0
28551,1553.48,1634.52,81.04,5.22,0.42,0.07,11093,0.02,0
27803,1342.68,1455.46,112.78,8.4,0.54,0.07,12085,0.02,0
28212,1118.18,1262.56,144.38,12.91,0.56,0.07,10778,0.04,0
27503,1448.79,1616.95,168.16,11.61,0.93,0.1,13733,0.01,0
27807,1210.73,1275.26,64.54,5.33,1.01,0.09,15652,0.01,0
28348,1619.25,1800.69,181.44,11.21,0.58,0.13,9838,0.04,0
27051,1001.12,1082.93,81.81,8.17,0.41,0.05,8731,0.02,0
28226,1787.46,1988.19,200.73,11.23,0.54,0.07,16687,0.02,0
28701,1240.2,1213.64,-26.56,-2.14,0.2,0.02,11072,0.01,0
28214,1194.12,1295.27,101.16,8.47,0.5,0.07,10019,0.05,0
28278,1512.67,1615.7,103.03,6.81,0.44,0.05,15567,0.04,0
28078,1500.13,1600.57,100.44,6.7,0.55,0.07,13568,0.03,0
27856,1225.35,1351.3,125.95,10.28,0.65,0.07,12831,0.02,0
28580,1429.17,1488.61,59.44,4.16,0.41,0.07,9807,0.02,0
28037,1424.23,1466.41,42.18,2.96,0.51,0.05,16049,0.02,0
28412,831.98,1001.88,169.89,20.42,0.41,0.03,18053,0.01,0
27053,1231.8,1110.72,-121.08,-9.83,0.22,0.04,7270,0.02,0
27521,1307.69,1423.02,115.33,8.82,0.7,0.07,14788,0.01,0
28398,1624.05,1735.51,111.46,6.86,0.48,0.11,9699,0.01,0
27239,1140.26,1195.49,55.23,4.84,0.43,0.05,12631,0.01,0
28086,1054.66,1113.93,59.26,5.62,0.48,0.05,11641,0.03,0
28645,937.22,1043.88,106.66,11.38,0.48,0.05,11355,0.02,0
28612,913.5,994.18,80.68,8.83,0.43,0.05,9516,0.01,0
28420,1039.12,1012.42,-26.69,-2.57,0.32,0.03,13055,0.01,0
27407,1103,1229.52,126.52,11.47,0.51,0.06,10671,0.03,0
28449,1040.83,1192.94,152.11,14.61,0.17,0.03,15082,0.01,0
28480,2453.72,2779.18,325.46,13.26,0.3,0.04,29424,0.01,0
27529,1285.65,1437.23,151.58,11.79,1.17,0.12,13316,0.02,0
28147,1146.71,1229.11,82.4,7.19,0.56,0.06,12399,0.02,0
27048,1020.42,1094.48,74.06,7.26,0.39,0.05,10194,0.01,0
27568,1165.8,1238.64,72.84,6.25,0.22,0.04,6774,0.01,0
28041,1143.43,1224.85,81.42,7.12,0.44,0.05,12009,0.01,0
28716,1067.23,1150.84,83.6,7.83,0.38,0.04,11841,0.01,0
28443,934.65,1062.91,128.26,13.72,0.61,0.06,15621,0.01,0
28585,1203.37,1222.48,19.11,1.59,0.79,0.08,15371,0.02,0
27291,1451.98,1411.24,-40.73,-2.81,0.16,0.03,7751,0.01,0
28743,1296.54,1400.26,103.72,8,0.08,0.01,7426,0.01,0
27941,1106.04,1255.57,149.53,13.52,3.8,0.03,185078,0.03,0
27897,1337.66,1363.9,26.24,1.96,0.32,0.07,7528,0.02,0
28739,1324.49,1446.61,122.12,9.22,0.49,0.04,17010,0.01,0
27806,1141.87,1146.15,4.28,0.37,0.1,0.04,4655,0.02,0
28472,1910.06,1898.5,-11.55,-0.6,0.58,0.1,13604,0.01,0
27212,1256.38,1295.1,38.72,3.08,0.66,0.05,20326,0.01,0
27379,1126.51,1186.53,60.03,5.33,0.34,0.05,8717,0.01,0
28906,1145.39,1200.48,55.09,4.81,0.33,0.02,20043,0.01,0
27839,1274.56,1508.13,233.57,18.33,0.76,0.09,10658,0.02,0
27817,1427.84,1345.02,-82.82,-5.8,0.24,0.04,11325,0.01,0
28621,1065.28,1165.74,100.46,9.43,0.29,0.04,9284,0.01,0
28766,1005.6,1217.4,211.8,21.06,0.26,0.03,8806,0.01,0
28623,1107.84,1197.62,89.78,8.1,0.2,0.03,8151,0.01,0
28705,1071.33,1151.74,80.4,7.51,0.21,0.02,10328,0.01,0
28315,1303.16,1335.81,32.65,2.51,0.5,0.1,10831,0.02,0
28736,1979.17,2173.92,194.76,9.84,0.24,0.02,27505,0,0
28707,1134.64,1330.91,196.27,17.3,0.17,0.03,6929,0.01,0
28337,1585.78,1617.04,31.26,1.97,0.78,0.12,12012,0.02,0
28020,1058.66,1020.58,-38.08,-3.6,0.54,0.04,15140,0.01,0
28394,1578.1,1594.94,16.84,1.07,0.44,0.1,10756,0.02,0
27974,1119.94,1240.76,120.82,10.79,0.17,0.03,7380,0.02,0
28373,1157.52,1249.35,91.82,7.93,0.36,0.08,7779,0.01,0
28768,1225.83,1340.13,114.31,9.32,0.5,0.04,16991,0.01,0
28167,1280.44,1314.93,34.49,2.69,0.3,0.04,13000,0.01,0
28018,1200.11,1171.56,-28.56,-2.38,0.49,0.04,15494,0.01,0
27957,2116.81,2216.52,99.71,4.71,0.15,0.04,9141,0.02,0
28644,1223.26,1275.26,52,4.25,0.26,0.03,13939,0.02,0
28718,1105.37,1221.63,116.26,10.52,0.27,0.04,8874,0,0
28654,1144.39,1242.18,97.79,8.55,0.38,0.04,12107,0.01,0
28626,1308.79,1394.72,85.93,6.57,0.23,0.03,13671,0.01,0
28528,970.82,883.73,-87.09,-8.97,0.26,0.06,8425,0.02,0
27582,1151.26,1137.15,-14.11,-1.23,0.46,0.04,12977,0.01,0
28363,1498.16,1468.14,-30.02,-2,0.26,0.08,6528,0.02,0
27954,1050.26,1292.97,242.71,23.11,0.31,0.02,17371,0.04,0
27943,1015.24,1291.78,276.55,27.24,0.19,0.03,11214,0.01,0
28077,871.14,969.73,98.59,11.32,1.46,0.08,34018,0.03,0
28343,1270.22,1381.7,111.48,8.78,0.64,0.1,9965,0.01,0
27295,1053.69,1140.87,87.17,8.27,0.44,0.05,11817,0.01,0
28625,1057.62,1190,132.38,12.52,0.5,0.06,10698,0.02,0
27545,1198.15,1383.18,185.03,15.44,0.55,0.07,11379,0.03,0
27265,1120.79,1230.77,109.98,9.81,0.54,0.06,11202,0.02,0
28678,984.22,1134.25,150.03,15.24,0.52,0.06,10348,0.02,0
28479,821.56,1036.15,214.59,26.12,0.41,0.05,12503,0.01,0
27253,981.42,1088.1,106.68,10.87,0.44,0.05,9838,0.01,0
28104,1613.84,1760.28,146.45,9.07,0.6,0.07,15977,0.03,0
28761,1235.14,1299.48,64.34,5.21,0.39,0.04,14754,0.01,0
28642,914.28,968.67,54.39,5.95,0.53,0.06,9609,0.01,0
27617,1479.77,1660.63,180.86,12.22,0.69,0.07,16331,0.02,0
27519,1539.17,1700.4,161.22,10.47,0.82,0.1,14595,0.02,0
28203,1905.85,2089.34,183.49,9.63,0.49,0.05,23535,0.02,0
27830,1426.6,1539.68,113.08,7.93,1.23,0.13,12735,0.04,0
28574,1057.08,1178.14,121.06,11.45,0.53,0.09,12670,0.02,0
28546,1003.91,1055.84,51.93,5.17,0.7,0.1,13174,0.02,0
28206,1015.79,1158.27,142.47,14.03,0.54,0.06,10951,0.04,0
28333,1325.82,1443.21,117.39,8.85,0.39,0.07,9035,0.02,0
28513,1490.74,1586.96,96.22,6.45,0.4,0.06,12843,0.02,0
28312,1712.83,1844.6,131.77,7.69,0.53,0.1,13452,0.03,0
27837,1591.71,1647.65,55.94,3.51,0.27,0.05,9537,0.01,0
27878,1062.3,1165.23,102.94,9.69,0.62,0.07,8436,0.01,0
27829,1491.65,1493.91,2.26,0.15,0.34,0.06,9500,0.01,0
28715,1098.29,1190.66,92.37,8.41,0.34,0.03,12478,0.01,0
28395,1538.95,1672.13,133.18,8.65,0.51,0.1,9497,0.02,0
27050,1106.74,1149.36,42.62,3.85,0.39,0.05,11210,0.02,0
27886,1294.02,1406.53,112.52,8.7,0.6,0.07,13085,0.01,0
27572,1330.87,1424.29,93.41,7.02,0.43,0.05,12018,0.01,0
28753,1302.5,1383.88,81.38,6.25,0.13,0.02,8826,0.01,0
27009,1186.65,1280.7,94.06,7.93,0.51,0.06,11319,0.01,0
28216,1257.68,1392.35,134.68,10.71,0.52,0.08,9433,0.04,0
28031,1784.21,1976.74,192.53,10.79,0.48,0.06,17315,0.02,0
28401,859.2,990.58,131.37,15.29,0.83,0.05,23084,0.02,0
28504,1629.12,1767.08,137.96,8.47,0.36,0.07,9678,0.02,0
28609,1133.64,1272.99,139.35,12.29,0.55,0.05,14641,0.02,0
27549,1330.73,1429.25,98.53,7.4,0.52,0.05,14943,0.02,0
27292,1049.91,1147.8,97.89,9.32,0.4,0.04,11443,0.01,0
27801,1238.16,1382.7,144.54,11.67,0.44,0.07,9210,0.02,0
28110,1165.69,1250.76,85.07,7.3,0.58,0.06,12328,0.03,0
27011,1044.15,1001.95,-42.2,-4.04,0.37,0.05,8566,0.01,0
27607,1611.41,1899.69,288.28,17.89,0.32,0.04,13978,0.01,0
27713,1316.93,1456.23,139.3,10.58,0.48,0.06,11634,0.02,0
27518,1815.21,2045.54,230.34,12.69,0.64,0.08,16568,0.01,0
28071,1221.8,1299.89,78.09,6.39,0.48,0.05,13171,0.02,0
28202,1564.1,1685.07,120.96,7.73,0.55,0.07,16611,0.02,0
27883,1261.95,1380.69,118.74,9.41,0.8,0.07,15288,0.02,0
28540,965.32,1001.81,36.49,3.78,0.66,0.1,13101,0.01,0
27569,1316.34,1381.95,65.61,4.98,0.47,0.06,13509,0.02,0
27260,890.35,993.71,103.37,11.61,0.63,0.07,10089,0.03,0
28578,1488.88,1536.19,47.31,3.18,0.38,0.08,8168,0.01,0
28590,1552.84,1661.89,109.05,7.02,0.33,0.05,11047,0.01,0
28305,2027.65,2134.23,106.58,5.26,0.29,0.07,10701,0.03,0
28314,1649.72,1839.98,190.26,11.53,0.66,0.14,10915,0.03,0
27812,1662.85,1634.11,-28.74,-1.73,0.21,0.04,8887,0.01,0
28344,1633.94,1738.96,105.03,6.43,0.39,0.08,7668,0.02,0
28759,1257.61,1373.01,115.4,9.18,0.42,0.04,14049,0.01,0
27021,977.51,1054.64,77.13,7.89,0.47,0.06,9587,0.01,0
28356,1692.53,1836.82,144.29,8.52,0.55,0.12,11607,0.03,0
28269,1343.91,1456.65,112.74,8.39,0.57,0.08,11657,0.04,0
27406,1101.47,1218.97,117.5,10.67,0.59,0.07,10508,0.03,0
28658,979.07,1064.83,85.76,8.76,0.59,0.06,11706,0.02,0
28405,995.41,1175.01,179.6,18.04,0.53,0.05,19335,0.01,0
27541,1323.91,1245.13,-78.79,-5.95,0.85,0.04,28770,0.01,0
27016,1166.9,1058.21,-108.69,-9.31,0.32,0.04,9529,0.01,0
27030,972.86,1045.07,72.21,7.42,0.41,0.05,10180,0.02,0
28341,1618.73,1663.4,44.67,2.76,0.51,0.08,18611,0.02,0
27370,1058.64,1115.2,56.57,5.34,0.6,0.06,13546,0.02,0
28112,1193.98,1295.91,101.93,8.54,0.49,0.05,12433,0.02,0
28127,1429.02,1521.9,92.88,6.5,0.5,0.04,19137,0.01,0
28671,850.95,883.87,32.91,3.87,0.66,0.06,8514,0.03,0
28034,1007.09,1107.46,100.37,9.97,0.55,0.05,13615,0.03,0
27282,1191.66,1290.75,99.1,8.32,0.52,0.07,10900,0.02,0
28428,885.62,998.93,113.32,12.8,0.36,0.02,12936,0.01,0
27313,1144,1249.07,105.07,9.18,0.78,0.08,12653,0.02,0
27577,1258.63,1356.58,97.95,7.78,0.59,0.07,12913,0.02,0
28366,1436.31,1467.58,31.27,2.18,0.5,0.08,12487,0.01,0
27326,1144.35,1149.01,4.67,0.41,1.05,0.1,12162,0.01,0
28144,1270.64,1393.46,122.82,9.67,0.58,0.06,13660,0.02,0
28137,1330.51,1218.78,-111.73,-8.4,0.27,0.04,10648,0.01,0
27608,1942.67,2334.59,391.92,20.17,0.38,0.04,21948,0.01,0
27027,911.89,963.28,51.39,5.64,0.41,0.04,10796,0.01,0
